SupplierCaseGTIN,EcommUniqueId,Gtin12,Upc11,LaunchDate,ItemNumber,BeverageSegment,Brand,SubBrand,DigitalCatalogProductName,WineVarietal,WineVintage,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,ProductDescShort,ProductDescLong,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,ProductBullet06,ProductBullet07,ProductBullet08,ProductBullet09,ProductBullet10,ProductBullet11,ProductBullet12,SurgeonGeneralWarning,ProductDisclaimerSparkling,HasProp65Ingredient,ProductPlaceOfOrigin,CountryOfOrigin,SellingUnitWidth,SellingUnitDepth,SellingUnitHeight,DimensionUom,SellingUnitWeight,WeightUom,StorageTemperature,ExpirationType,ShelfLifeDays,LegalSocialResponsibility,LegalMandatoryStatement,Video_snackable,Image_package_front,Image_package_right,Image_package_left,Image_bottle_standard,Image_label_front,Image_label_back,Image_can_standard,Image_box_front,Image_box_right,Image_box_left,Nutrition_StandardServingSize,Nutrition_StandardServingSizeUOM,Nutrition_Calories,Nutrition_Carbs,Nutrition_CarbsUOM,Nutrition_Fat,Nutrition_FatUOM,Nutrition_Protein,Nutrition_ProteinUOM,Nutrition_Sodium,Nutrition_SodiumUOM,Nutrition_Ingredients
10021296006603,00021296006606,021296006606,02129600660,2011-09-14T12:00:00Z,151599,Spirits,Paul Masson Grande Amber,VSOP,"Paul Masson Grande Amber VSOP Brandy, 1.75 L Bottle, 80 Proof",,,1.75,L,1,,Bottle,"Paul Masson Grande Amber VSOP Brandy is a superior brandy exquisitely blended and aged for four years. It has a rich flavor, fine aroma, and extra smooth taste. Perfect addition to cocktail recipes.","Aged in oak barrels, Paul Masson VSOP is an award-winning favorite with a rich amber glow and slightly sweet taste profile featuring notes of caramel and vanilla. Grande Amber VSOP is a superior brandy exquisitely blended and aged for four years. This unique and premium blend creates the rich flavor, fine aroma, and extra smooth taste that you’d expect from only the finest brandy. Crafted with over 100 years of knowledge, from the oak-aging process to the care in selecting only the finest grapes, Grande Amber upholds the illustrious heritage of Paul Masson. The additional aging results in a greater overall brandy character and complexity than traditional brandies. It has a balanced body that is a perfect addition to countless cocktail recipes.",,A rich amber glow and slightly sweet taste profile,,,"Features notes of caramel and vanilla, aged for four years",,,,A perfect addition to cocktail recipes,,,Crafted with over 100 years of knowledge,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,4.7,4.7,13.06,Inches,5.96,Pounds,Ambient: Room Temperature,Shelf Life,720,Relax Responsibly.,"© 2020 Paul Masson, Canandaigua, NY.  40% alc./vol. (80 proof)",,,,,http://images.salsify.com/image/upload/s--V_zmt-c9--/gsnjma9xntmpjkzo3mjp.png,,,,,,,1.5,fl oz,100,0,g,0,g,0,g,0,mg,
10617768151102,00617768151105,617768151105,61776815110,2014-02-06T12:00:00Z,80020691,Spirits,SVEDKA,,"SVEDKA Mango Pineapple Flavored Vodka, 1 L Bottle, 70 Proof",,,1,L,1,,Bottle,SVEDKA Mango Pineapple Flavored Vodka delivers a tropical blend of natural flavors of ripe Filipino mango and juicy pineapple. This spirit is delicious on its own or in countless vodka cocktails.,"SVEDKA Mango Pineapple Flavored Vodka brings an island beat to the city street with vibrant tropical flavors. Made with the finest spring water and Swedish winter wheat, this Swedish vodka is distilled five times to create a smooth and easy-drinking spirit. This 1 liter bottle of vodka is infused with natural flavors of ripe Filipino mango and juicy pineapple with a subtle rounded sweetness. Enjoy the pure, clear taste and crisp finish of this pineapple and mango vodka on the rocks, or mix it in to tropical drinks such as a Mai Tai, a Feel My Wrath, a Bee's Holiday or a French Imperial. SVEDKA Vodka - BRING YOUR OWN SPIRIT. ENJOY RESPONSIBLY. © 2020 Spirits Marque One, San Francisco, CA. 35% alc. by vol. (70 proof)",One 1 L bottle of SVEDKA Mango Pineapple Flavored Vodka,,,,Delicious tropical blend of natural ripe Filipino mango and juicy pineapple flavors,Smooth and easy-drinking mango and pineapple vodka with pleasant sweetness and a crisp finish,"Made with spring water and Swedish winter wheat, distilled five times to remove impurities",,"Tropical vodka flavor mixes well in a Mai Tai, a Feel My Wrath, a Bee's Holiday or a French Imperial",This 70 proof vodka is 35% alcohol by volume,,"Whatever it is that makes you unique, SVEDKA encourages you to bring it - BRING YOUR OWN SPIRIT","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Sweden,Sweden,3.42,3.42,11.73,Inches,3.8,Pounds,Ambient: Room Temperature,Shelf Life,1095,ENJOY RESPONSIBLY.,"© 2020 Spirits Marque One, San Francisco, CA.  35% alc. by vol. (70 proof)",,,,,http://images.salsify.com/image/upload/s--eHRVXTWQ--/m91djgykulkof73nsaqg.png,,,,,,,1.5,fl oz,,,,,,,,,,
10021296620076,00021296620079,021296620079,02129662007,2016-06-17T12:00:00Z,80055681,Spirits,Paul Masson Grande Amber,,"Paul Masson Grande Amber Red Berry Brandy, 750 mL Bottle, 54 Proof",,,750,mL,1,,Bottle,Grande Amber Red Berry is a delectable fusion of smooth-tasting Paul Masson brandy and the flavor of ripe red berries. It has a balanced body that is a perfect addition to countless cocktail recipes.,"Crafted with over 100 years of knowledge, aged in oak barrels, Paul Masson Brandy is an award-winning favorite. From the oak-aging process to the care in selecting only the finest grapes, this 54-proof brandy upholds the illustrious heritage of Paul Masson. The additional aging results in a greater overall brandy character and complexity than traditional brandies. With a rich amber glow and slightly sweet taste profile, Grande Amber Red Berry is a delectable fusion of smooth-tasting brandy and the flavor of ripe red berries. With a balanced body that is a perfect addition to countless cocktail recipes, ideal for a Peach Berry Cocktail.",,A rich amber glow and slightly sweet taste profile,,,Flavors of ripe red berries,,,,"Perfect addition to countless cocktail recipes, ideal for a Peach Berry Cocktail",54-proof,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Kentucky,United States,5.06,3.31,8.61,Inches,3.16,Pounds,Ambient: Room Temperature,Shelf Life,720,Relax Responsibly.,"© 2020 Paul Masson, Canandaigua, NY. 27% alc./vol. (54 proof)",,,,,http://images.salsify.com/image/upload/s---LcwJ6qP--/tpxsli8j276vpdvpti9k.png,,,,,,,1.5,fl oz,,,,,,,,,,
10617768128753,00617768128756,617768128756,61776812875,2012-05-10T12:00:00Z,80012294,Spirits,SVEDKA,,"SVEDKA Colada Flavored Vodka, 750 mL Bottle, 70 Proof",,,750,mL,1,,Bottle,"SVEDKA Colada Flavored Vodka puts the tropics on the rocks with a blend of coconut, ripe pineapples and a hint of mango. Enjoy this spirit on its own or mixed into tropical vodka cocktails.","SVEDKA Colada Flavored Vodka puts the tropics on the rocks with a delightful blend of coconut, pineapple and mango natural flavors. Made with Swedish winter wheat and the finest spring water, this award-winning Swedish vodka is distilled five times to remove impurities. This tried and true process results in a pure, clear taste with a balanced body and crisp finish. Infused with an exquisite medley of tropical flavors, this easy-drinking vodka has a subtle, rounded sweetness that makes it the perfect partner in crime for your favorite spicy food. Enjoy this coconut vodka on the rocks, or use it to prepare a tropical drink such as a Colada Island Time. SVEDKA Vodka - BRING YOUR OWN SPIRIT. ENJOY RESPONSIBLY. © 2020 Spirits Marque One, San Francisco, CA. 35% alc. by vol. (70 proof)",One 750 mL bottle of SVEDKA Colada Flavored Vodka,,,,"Infused with a blend of natural tropical flavors of coconut, ripe pineapples and a hint of mango","Easy-drinking tropical vodka with a balanced body, subtle sweetness and crisp finish",Made with spring water and Swedish winter wheat and distilled five times to remove impurities,,"Enjoy this coconut vodka on the rocks or mix it into a tropical drink, such as a Colada Island Time",This 70 proof vodka is 35% alcohol by volume,,"Whatever it is that makes you unique, SVEDKA encourages you to bring it - BRING YOUR OWN SPIRIT","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Sweden,Sweden,3.09,3.09,10.96,Inches,2.87,Pounds,Ambient: Room Temperature,Shelf Life,9999,ENJOY RESPONSIBLY.,"© 2020 Spirits Marque One, San Francisco, CA.  35% alc. by vol. (70 proof)",,,,,http://images.salsify.com/image/upload/s--fet3J0Gj--/m7ujdokrurc304zgugta.png,,,,,,,1.5,fl oz,,,,,,,,,,
10086003272023,00086003272026,086003272026,08600327202,2018-09-27T12:00:00Z,80072904,Spirits,Mi Campo,Blanco,"Mi Campo Blanco Tequila, 1 L Bottle, 80 Proof",,,1,L,1,,Bottle,"Mi Campo Blanco has aromas of cooked agave, banana, fresh coconut, almonds, sweet orange and green apple with hints of vanilla. This 80-proof tequila is made from 100% blue weber agave.","Mi Campo Blanco is crafted using high quality agave and tequila production methods to bring you a contemporary take on tequila. Made from 100% blue weber agave, the pinas are squeezed not crushed, then cooked in stone ovens. Our tequila is double distilled in alembic stills, and then rested three weeks in French oak chardonnay barrels for aging. This 80-proof tequila is a light straw color with hints of silver sparkle. Aromas of cooked agave, banana fresh coconut, almonds, sweet orange and green apple is layered over hints of elegant vanilla. On the palate, orange blossom tea underscores threads of honey and sweet orange, balanced by subtle white pepper notes.",,,,,"On the palate, orange blossom tea underscores threads of honey and sweet orange",Made from 100% blue weber agave,,,,80-proof tequila made from 100% blue weber agave,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,3.85,3.85,10.44,Inches,4.23,Pounds,Ambient: Room Temperature,Shelf Life,9999,Please enjoy responsibly.,"© 2020 Imported by Mi Campo Spirits, Canandaigua, NY.  Tequila.  40% alc. By vol.",,,,,http://images.salsify.com/image/upload/s--637J0s1v--/s-fae03620-13ff-4ef3-a5c1-b6e12ed0c87d.png,,,,,,,1.5,fl oz,100,0,g,0,g,0,g,0,mg,
10082100783196,00082100783199,082100783199,08210078319,2018-09-14T12:00:00Z,80074102,Spirits,Casa Noble,Crystal,"Casa Noble Crystal Gift Pack Tequila, 750 mL Bottle, 80 Proof",,,750,mL,1,,Bottle,"Enticing aromas set the palate for flavors of honey, buttery-sweet cooked agave, and a hint of citrus. Casa Noble Crystal Gift Pack Tequila includes (2) cocktail glasses.","Casa Noble nurtures and harvests 100% Blue Weber agave in the rich, volcanic soil of Jalisco, Mexico for a consistently smooth flavor with unique characteristics and aromatic essences. The clean, crisp taste of this blanco tequila celebrates the fresh flavor of the noble Blue Weber agave. Enticing aromas set the palate for flavors of honey, buttery-sweet cooked agave, and a hint of citrus. These 80-proof fine tequilas are produced in small batches, triple distilled, and certified organic for ultra-premium, limited-run tequila that is truly one of a kind. Ideal for a Margarita, Casa Noble Tequila has a balanced body that is a perfect addition to countless cocktail recipes. Casa Noble's gift pack of luxury tequila includes one (1) 750ml bottle of Casa Noble Crystal tequila and two (2) stainless-steel cocktail cups engraved with the Casa Noble logo. ",,,,,"Flavors of honey, buttery-sweet cooked agave, and a hint of citrus",Consistently smooth with unique characteristics and aromatic essences,,"From 100% Blue Weber agave in the rich, volcanic soil of Jalisco, Mexico","Ideal for a Margarita, perfect addition to countless cocktail recipes","80-proof, produced in small batches, triple distilled, and certified organic",,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,9.5,4.0,10.75,Inches,5.33,Pounds,Ambient: Room Temperature,Shelf Life,9999,Be Noble. Drink Responsibly.,"© 2020 Casa Noble Imports, Canandaigua, NY. Tequila. 40% alc. by vol.",,http://images.salsify.com/image/upload/s--JyzclA94--/ckisvyf7gfnezn0pyllt.png,http://images.salsify.com/image/upload/s--bl1KDZMF--/kkhptu7iknlfjldd8tyh.png,,http://images.salsify.com/image/upload/s--oc6fftRT--/lnmihydw1anhncbgxvsw.png,,,,,,,1.5,fl oz,100,0,g,0,g,0,g,0,mg,
10086003272030,00086003272033,086003272033,08600327203,2018-10-08T12:00:00Z,80072905,Spirits,Mi Campo,Blanco,"Mi Campo Blanco Tequila, 750 mL Bottle, 80 Proof",,,750,mL,1,,Bottle,"Mi Campo Blanco has aromas of cooked agave, banana, fresh coconut, almonds, sweet orange and green apple with hints of vanilla. This 80-proof tequila is made from 100% blue weber agave.","Mi Campo Blanco is crafted using high quality agave and tequila production methods to bring you a contemporary take on tequila. Made from 100% blue weber agave, the pinas are squeezed not crushed, then cooked in stone ovens. Our tequila is double distilled in alembic stills, and then rested three weeks in French oak chardonnay barrels for aging. This 80-proof tequila is a light straw color with hints of silver sparkle. Aromas of cooked agave, banana fresh coconut, almonds, sweet orange and green apple is layered over hints of elegant vanilla. On the palate, orange blossom tea underscores threads of honey and sweet orange, balanced by subtle white pepper notes.",,,,,"On the palate, orange blossom tea underscores threads of honey and sweet orange",Made from 100% blue weber agave,,,,80-proof tequila made from 100% blue weber agave,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Mexico,Mexico,3.85,3.85,8.86,Inches,3.31,Pounds,Ambient: Room Temperature,Shelf Life,9999,Please enjoy responsibly.,"© 2020 Imported by Mi Campo Spirits, Canandaigua, NY.  Tequila.  40% alc. By vol.",,,,,http://images.salsify.com/image/upload/s--zzmX8N5C--/s-5f44c0c8-ca21-45b7-9ca1-9af357664c50.png,,,,,,,1.5,fl oz,100,0,g,0,g,0,g,0,mg,
10617768141103,00617768141106,617768141106,61776814110,2014-02-06T12:00:00Z,80020681,Spirits,SVEDKA,,"SVEDKA Strawberry Lemonade Flavored Vodka, 1 L Bottle, 70 Proof",,,1,L,1,,Bottle,SVEDKA Strawberry Lemonade Flavored Vodka delivers a bright blend of lemonade and sweet wild strawberry flavor. It's delicious on its own or mixed with your favorite vodka cocktails.,"SVEDKA Strawberry Lemonade Flavored Vodka offers a pure, clear taste, making it the perfect addition to countless sweet cocktails. Distilled five times to remove impurities and infused with a bright blend of lemonade and sweet wild strawberry flavor, this Swedish vodka uses the finest spring water and Swedish winter wheat, creating a smooth, easy-drinking vodka with a subtle, rounded sweetness and a crisp finish that's ideal for any occasion. Splash into flavor and entertain your guests when you serve drinks from this 1 liter bottle of lemonade and strawberry vodka on the rocks or mixed into vodka cocktails such as a ginger me timbers, a cosmopolitan or an electric strawberry lemonade. SVEDKA vodka - BRING YOUR OWN SPIRIT. ENJOY RESPONSIBLY. © 2020 Spirits Marque One, San Francisco, CA. 35% alc. by vol. (70 proof)",One 1 L bottle of SVEDKA Strawberry Lemonade Flavored Vodka,,,,Infused with a bright blend of sweet wild strawberry and lemonade flavor,"This smooth flavored vodka has a subtle, rounded sweetness and a crisp finish ideal for any occasion",Made with spring water and Swedish winter wheat and distilled five times to remove impurities,,Enjoy this vodka drink on the rocks or mixed into a cosmopolitan or electric strawberry lemonade,This 70 proof vodka is 35% alcohol by volume,,"Whatever it is that makes you unique, SVEDKA encourages you to bring it - BRING YOUR OWN SPIRIT","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Sweden,Sweden,3.42,3.42,11.73,Inches,3.8,Pounds,Ambient: Room Temperature,Shelf Life,1095,ENJOY RESPONSIBLY.,"© 2020 Spirits Marque One, San Francisco, CA.  35% alc. by vol. (70 proof)",,,,,http://images.salsify.com/image/upload/s--nohEjjjj--/gl4o2terioy4vqyahybk.png,,,,,,,1.5,fl oz,,,,,,,,,,
10021296620427,00021296620420,021296620420,02129662042,2018-11-28T12:00:00Z,80077441,Spirits,Paul Masson Grande Amber,,"Paul Masson Grande Amber Peach Brandy, 100 mL Plastic Bottle, 54 Proof",,,100,mL,1,,Bottle,"Grande Amber Peach is a delectable fusion of smooth-tasting Paul Masson brandy and the flavor of fresh, juicy peaches. It has a balanced body that is a perfect addition to countless cocktail recipes.","Aged in oak barrels, Paul Masson Brandy is an award-winning favorite with a rich amber glow and slightly sweet taste profile. Grande Amber Peach is a delectable fusion of smooth-tasting Paul Masson brandy and the flavor of fresh, juicy peaches. Crafted with over 100 years of knowledge, from the oak-aging process to the care in selecting only the finest grapes, Grande Amber upholds the illustrious heritage of Paul Masson. The additional aging results in a greater overall brandy character and complexity than traditional brandies. Combine with your favorite mixer, it has a balanced body that is a perfect addition to countless cocktail recipes.",,A rich amber glow and slightly sweet taste profile,,,"Delectable fusion with the flavor of fresh, juicy peaches",,,,Combine with your favorite mixer for perfect addition to cocktail recipes,,,Crafted with over 100 years of knowledge,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,1.15,1.15,5.0,Inches,0.29,Pounds,Ambient: Room Temperature,Shelf Life,720,Relax Responsibly.,"© 2020 Paul Masson, Canandaigua, NY. 27% alc./vol. (54 proof)",,,,,http://images.salsify.com/image/upload/s--dITTWB4i--/yohedgt9yzgpknedwcgv.png,,,,,,,1.5,fl oz,,,,,,,,,,
10617768201753,00617768201756,617768201756,61776820175,2017-01-24T12:00:00Z,80056961,Spirits,SVEDKA,,"SVEDKA Blue Raspberry Flavored Vodka, 750 mL Bottle, 70 Proof",,,750,mL,1,,Bottle,"SVEDKA Blue Raspberry Flavored Vodka delivers a full, natural blue raspberry flavor that ends with a hard citrus crank. Enjoy this SVEDKA vodka on the rocks or create delicious cocktails.","SVEDKA Blue Raspberry Flavored Vodka is a smooth, easy-drinking Swedish vodka that can be easily enjoyed straight or in delicious cocktails. Made from the finest spring water and Swedish winter wheat, this award-winning blue raspberry vodka is distilled five times to remove impurities, producing a pure, clear taste with a balanced body and a crisp finish. Delivering a full, natural blue raspberry flavor with rounded sweetness in every sip, ending with a hard citrus crank, this SVEDKA vodka is delicious on the rocks or in vodka cocktails like a Blue Heaven, Bitter Raz, Blue Bulldog or Blue Rasmopolitan. Dive in and enjoy a delicious blue raspberry drink. Serve this 750 mL bottle of vodka chilled at your next backyard barbecue, poolside celebration or house party. BRING YOUR OWN SPIRIT. ENJOY RESPONSIBLY. © 2020 Spirits Marque One, San Francisco, CA. 35% alc. by vol. (70 proof)",One 750 mL bottle of SVEDKA Blue Raspberry Flavored Vodka,,,,"Delicious vodka with full, natural blue raspberry flavor that ends a hard citrus crank",This easy drinking Swedish vodka offers rounded sweetness and crisp finish,Made from the finest spring water and Swedish winter wheat and distilled five times for a pure taste,,"Mix this blue raspberry vodka into a Blue Heaven, Bitter Raz, Blue Bulldog or Blue Rasmopolitan",This 70 proof vodka is 35% alcohol by volume,,"Whatever it is that makes you unique, SVEDKA encourages you to bring it - BRING YOUR OWN SPIRIT","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Sweden,Sweden,3.09,3.09,10.96,Inches,2.85,Pounds,Ambient: Room Temperature,Shelf Life,1095,ENJOY RESPONSIBLY.,"© 2020 Spirits Marque One, San Francisco, CA.  35% alc. by vol. (70 proof)",,,,,http://images.salsify.com/image/upload/s--s5U3Vtx6--/nb1bs0qe9xy4chd3eufu.png,,http://images.salsify.com/image/upload/s--WHRmdeEG--/cp0tzgcmwngldaeeu7qd.png,,,,,1.5,fl oz,,,,,,,,,,
