SupplierCaseGTIN,EcommUniqueId,Gtin12,Upc11,LaunchDate,ItemNumber,BeverageSegment,Brand,SubBrand,DigitalCatalogProductName,WineVarietal,WineVintage,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,ProductDescShort,ProductDescLong,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,ProductBullet06,ProductBullet07,ProductBullet08,ProductBullet09,ProductBullet10,ProductBullet11,ProductBullet12,SurgeonGeneralWarning,ProductDisclaimerSparkling,HasProp65Ingredient,ProductPlaceOfOrigin,CountryOfOrigin,SellingUnitWidth,SellingUnitDepth,SellingUnitHeight,DimensionUom,SellingUnitWeight,WeightUom,StorageTemperature,ExpirationType,ShelfLifeDays,LegalSocialResponsibility,LegalMandatoryStatement,Video_snackable,Image_package_front,Image_package_right,Image_package_left,Image_bottle_standard,Image_label_front,Image_label_back,Image_can_standard,Image_box_front,Image_box_right,Image_box_left,Nutrition_StandardServingSize,Nutrition_StandardServingSizeUOM,Nutrition_Calories,Nutrition_Carbs,Nutrition_CarbsUOM,Nutrition_Fat,Nutrition_FatUOM,Nutrition_Protein,Nutrition_ProteinUOM,Nutrition_Sodium,Nutrition_SodiumUOM,Nutrition_Ingredients
40083085903358,00083085903350,083085903350,08308590335,2013-07-23T12:00:00Z,80001529,Wine,Ruffino,Modus,"Ruffino Modus Toscana IGT, Italian Red Wine, 1.5 L Bottle",,,1.5,L,1,,Bottle,"Ruffino Modus Toscana Red Wine is full-bodied with a modern style and rich with silky tannins, making it the perfect addition to an elegant wine and cheese party.","Ruffino Modus Toscana Red Wine weaves together vibrant fresh fruit flavors from sangiovese, cabernet sauvignon and merlot red grapes with finesse, each adding their own distinctive characteristics. Sangiovese lends texture, merlot works in smoothness and cabernet gives structure. This red wine blend is intriguing on the nose with initial aromas of mature red and black fruits, such as cherries, plums, and small black berries. These intense aromas are complemented by hints of spices, sweet tobacco and refined balsamic notes. Full-bodied with a modern style, this red wine blend is rich with silky tannins and a long finish of vanilla and red berry. Containing the best grapes from the Poggio Casciano estate, this Italian wine reveals itself without coaxing or manipulation. Pair a glass with duck and pancetta, beef-stuffed manicotti and aged cheeses. Store this bottle of wine at room temperature, but refrigerate for about 30 to 60 minutes before pouring a glass. Please enjoy our wines responsibly. © 2020 Ruffino Import Company, Rutherford, CA USA",One 1.5 L bottle of Ruffino Modus Toscana Red Wine,,Large bottle of wine is an ideal size for your next social gathering,Aromas of mature red and black fruits complemented by hints of spices and refined balsamic notes,Red blend rich with silky tannins and flavors of mature blackberry fruit and cocoa,Sangiovese gives this wine a rich texture and full body with a modern style,Three grape varieties age separately in oak casks for 12 months before being blended and bottled,Italian red wine sourced from the best grapes from Ruffino's Poggio Casciano estate,"Pair this red blend with duck and pancetta, beef-stuffed manicotti and aged cheeses","Store at room temperature, but chill bottle for 30 to 60 minutes and serve cool",,"For those who embrace the Italian way of life, and find the joy in every moment. La Vita Ruffino.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Italy,Italy,3.7800000000000002,3.7800000000000002,13.9,Inches,5.07,Pounds,Ambient: Room Temperature,Shelf Life,365,Please enjoy our wines responsibly.,"© 2020 Ruffino Import Company, Rutherford, CA",,,,,http://images.salsify.com/image/upload/s--gEGbX0fb--/s-e2f55119-1f2e-40f2-b092-c1ec38fd2075.png,http://images.salsify.com/image/upload/s--ZXHHUw9i--/nemdgu4xqfr2h6r7n1xz.png,http://images.salsify.com/image/upload/s--GCXOiuL2--/qjcqbcgsjgclodsditf1.png,,,,,5,fl oz,130,4,g,0,g,0,g,5,mg,
20088232001846,00088232001842,088232001842,08823200184,2012-05-30T12:00:00Z,149459,Wine,Vendange,,"Vendange Chardonnay, White Wine, 2 pk 1.5 L Bottles",Chardonnay,,1.5,L,2,Pack,Bottles,"Vendange Chardonnay white wine has an inviting aroma of freesia, along with green apple and added layers from oak. It is full-flavored, balanced making it an idea wine for entertaining.","Established as one of America’s best-selling wines, Vendange offers a selection of well-balanced and high-quality varietal wines at reasonable prices. Easily recognized by its elegant and distinctive triangle-shaped label, Vendange is the ideal wine for entertaining or enjoying with a meal at home. With its fruit-forward varietal characteristics, Vendange wine is perfect for everyday consumption. This chardonnay has an inviting aroma of freesia, along with green apple and added layers from oak. It is a full-flavored, balanced, delicious wine with some apple and pear notes and a hint of toasted oak.",,,,,"Full-flavored, delicious wine with some pear notes",Well-balanced and high-quality varietal wines at reasonable prices,,,Ideal for entertaining or enjoying with a meal at home,,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,Australia,Australia,4.0,4.0,13.0,Inches,10.02,Pounds,Ambient: Room Temperature,Shelf Life,500,Please enjoy our wines responsibly.,"© 2020 Vendange Wine Cellars, Acampo, CA",,,,,http://images.salsify.com/image/upload/s--0N4akPys--/x8y0yzqcib1s2rsgcdub.png,,,,,,,5,fl oz,120,3,g,0,g,0,g,5,mg,
10083804005607,00083804005600,083804005600,08380400560,2016-02-16T12:00:00Z,80030201,Wine,Cribari Cellars Dessert,,"Cribari Cellars Dessert Madeira, Red Wine, 5 L Box",Madeira,,5,L,1,,Box,"Cribari Cellars Dessert Madeira is sweet, slightly crisp, with a nutty flavor complemented citrus and pears. Use this red wine to enhance your meals by adding it to your chicken or veal recipe.","Traditional dessert wines that are perfect for any culinary application, Cribari offers a range of premium flavors that add to any chef’s arsenal. Cribari Cellars' award-winning madeira is made by a method called baking which recreates the flavor created centuries ago during transport from Spain to the West Indies. Cribari Madeira is a deep amber color, sweet, slightly crisp, with a full nutty flavor complemented by a fragrant bouquet of citrus and pears. You can enjoy this fine red wine as an aperitif or enhance your meals by adding it to your favorite chicken or veal recipe. Cribari brings out the flavor in wine-based dishes.",,,,,"Sweet, slightly crisp, with a full nutty flavor",,,,Enjoy this fine wine as an aperitif or enhance your meals,,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,4.05,9.61,10.66,Inches,11.38,Pounds,Ambient: Room Temperature,Shelf Life,1080,Please enjoy our wines responsibly.,"© 2020 Cribari Cellars, Canandaigua, NY",,,,,,,,,,,http://images.salsify.com/image/upload/s--7nMHyU2_--/goxfgfqejsnceakbmrht.png,2.5,fl oz,110,9,g,0,g,0,g,5,mg,
10088232003188,00088232003181,088232003181,08823200318,2014-02-14T12:00:00Z,80002034,Wine,Vendange,,"Vendange Pinot Grigio, White Wine, 500 mL Go Pack",Pinot Grigio,,500,mL,1,,Go Pack,"Vendange Pinot Grigio white wine has fresh aromas of green apples and citrus. It is delicate on the tongue with a light texture that mixes melon and pear with a bright, refreshing acidity.","Established as one of America’s best-selling wines, Vendange offers a selection of well-balanced and high-quality varietal wines at reasonable prices. Easily recognized by its elegant and distinctive triangle-shaped label, Vendange is the ideal wine for entertaining or enjoying with a meal at home. With its fruit-forward varietal characteristics, Vendange wine is perfect for everyday consumption. This pinot grigio is pale yellow with bursting, fresh aromas of green apples and citrus. It is delicate on the tongue with a light texture that mixes melon and pear with a bright, refreshing acidity.",,,,,"Light texture mixes melon and pear with a bright, refreshing acidity",Well-balanced and high-quality varietal wines at reasonable prices,,,Ideal for entertaining or enjoying with a meal at home,,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,2.24,2.62,6.5,Inches,1.25,Pounds,Ambient: Room Temperature,Shelf Life,270,Please enjoy our wines responsibly.,"© 2020 Vendange Wine Cellars, Acampo, CA",,,,,,,,,http://images.salsify.com/image/upload/s--jOmscqMy--/o5bdw0mmpr9n2e0jjhu5.png,http://images.salsify.com/image/upload/s--nJgZUYx_--/iskr3kwjssb0sprms8in.png,,5,fl oz,120,3,g,0,g,0,g,0,mg,
00083085391508,00083085301507,083085301507,08308530150,2012-06-14T12:00:00Z,80000689,Wine,Estancia,,"Estancia Zinfandel, Red Wine, 750 mL Bottle",Zinfandel,,750,mL,1,,Bottle,"We grew the fruit for this Estancia Zinfandel in our Keyes Canyon Vineyard in Paso Robles, where vines struggle to produce fruit. This red wine is deeply concentrated with intense varietal flavors.","Estancia's vineyard lies in the Thermal Rainbow of Monterey County, which features midday heat tempered by morning and late-afternoon fog - perfect for developing the intense fruit character. Pinnacles Vineyard was one of the first vineyards in the Paso Robles appellation to be planted with a permanent irrigation system. This zinfandel displays densely packed black raspberry, dark chocolate and cinnamon flavors followed by a long, rich finish. Enjoy and indulged with friends for an unforgettable food and wine experience. Varietal: 100% zinfandel.",,,,,"Densely packed black raspberry, dark chocolate and cinnamon flavors","A long, rich finish",,From the Thermal Rainbow of Monterey County (Paso Robles) appellation,,,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,3.18,3.18,11.75,Inches,2.7800000000000002,Pounds,Ambient: Room Temperature,Shelf Life,730,Please enjoy our wines responsibly.,"© 2020 Estancia Winery, Acampo, CA",,,,,http://images.salsify.com/image/upload/s--2upgchK8--/adlgyahrbjrp6glnx3rv.png,http://images.salsify.com/image/upload/s--2X_1UJMV--/gk9c6nhuiso7botsyecr.png,http://images.salsify.com/image/upload/s--Ir-EJzxe--/kwfwkrsvgwbfv9of7wcz.jpg,,,,,5,fl oz,130,4,g,0,g,0,g,0,mg,
10083085210035,00083085210038,083085210038,08308521003,2016-04-04T12:00:00Z,80026640,Wine,Franciscan,Vineyard Signature,"Franciscan Vineyard Signature Napa Valley Reserve Merlot, Red Wine, 750 mL Bottle",Merlot,,750,mL,1,,Bottle,"Franciscan Napa Valley Reserve Merlot red wine has aromas of pretty berry, sweet cherry vanilla, and milk chocolate. Textured and rich, the flavors echo the aromas with anise, toffee and plum.","Founded in 1973, Franciscan has a long tradition of crafting wine with a highly meticulous approach. Franciscan's home estate is located in Oakville, right in the heart of the Napa Valley appellation. This 240-acre parcel of land features loamy, gravelly, well-draining soil which adds structure to the wines. At Franciscan Estate, the wine lots are kept separate from the vineyard until just before bottling. After picking by hand, every load of grapes is assigned its own tank. Franciscan Napa Valley Reserve Merlot red wine has aromas of pretty berry, sweet cherry vanilla, and milk chocolate. Soft and seamless, neatly woven with a velvety mouthfeel. Textured and rich, the flavors echo the aromas with anise, toffee and plum. Varietal: 93% merlot, 7% syrah.",,,,,"Soft and seamless, neatly woven with a velvety mouthfeel",,,Napa Valley appellation,,,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,3.0,3.0,12.0,Inches,3.25,Pounds,Ambient: Room Temperature,Shelf Life,3650,Please enjoy our wines responsibly.,"© 2020 Franciscan Estate, Oakville, CA",,,,,http://images.salsify.com/image/upload/s--yA4ZkqyP--/hsw7mzex9adptwd1twlw.png,,,,,,,5,fl oz,120,4,g,0,g,0,g,5,mg,
10087356510442,00087356510445,087356510445,08735651044,2012-04-19T12:00:00Z,80000453,Wine,Clos du Bois,,"Clos du Bois Pinot Grigio, White Wine, 750 mL Bottle",Pinot Grigio,,750,mL,1,,Bottle,"Clos du Bois Pinot Grigio has aromas of white peach, melon, and pink grapefruit with delicate floral notes. This white wine has a mouthfeel of a vibrant, lively acidity and a long, crisp finish.","Clos du Bois Winery farms almost 800 acres in the vibrantly diverse wine regions of Sonoma County and Coastal California. Working with a family of trusted growers from some of the best vineyards, each vintage is crafted to achieve balance, intensity, and true varietal character. This Clos du Bois Pinot Grigio has a pale silver straw color with aromas of white peach, melon, and pink grapefruit, with delicate floral notes. In the mouth, this white wine exhibits a vibrant, lively acidity with bright citrus flavors of lime zest, grapefruit, and stone fruit, with hints of minerality and a long, crisp finish. Pair this wine with Asian food, especially anything infused with garlic and coconut-milk-based curries. It is also delicious with raw fish, oysters, mussels, and clams.",,,,,"Exhibits bright citrus flavors of lime zest, grapefruit, and stone fruit","Contains hints of minerality and a long, crisp finish",,From the vibrantly diverse wine regions of Sonoma County and Coastal California,"Pair with Asian food, especially anything infused with garlic",,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,3.03,3.03,11.88,Inches,2.89,Pounds,Ambient: Room Temperature,Shelf Life,730,Please enjoy our wines responsibly.,"© 2020 Clos du Bois, Geyserville, CA",,,,,http://images.salsify.com/image/upload/s--3Gz_uEzz--/zbquz8vm7sucvd0q0ucg.png,http://images.salsify.com/image/upload/s--FdawwVr---/dhph8yu24nhwtwbdhhis.png,http://images.salsify.com/image/upload/s--oUhja_dD--/ej59gz3mlrilpguucxox.png,,,,,5,fl oz,120,3,g,0,g,0,g,0,mg,
10082100179050,00082100179053,082100179053,08210017905,2011-09-23T12:00:00Z,901722,Wine,Arbor Mist,,"Arbor Mist Peach Chardonnay, Fruit Wine, 1.5 L Bottle",Peach Chardonnay,,1.5,L,1,,Bottle,"Arbor Mist Peach Chardonnay is a blend of fresh peach flavor and smooth chardonnay. This fruity, ready-to-drink beverage contains 150 calories and 0 grams of fat per 8-oz serving. Best served chilled.","Get the great taste of wine with a splash of fruit. Arbor Mist is a light varietal wine with the refreshing taste of natural fruit flavors. Georgia's got nothing on this peach chardonnay's luscious blend of fresh peach flavor and smooth chardonnay. It is perfect for poolside, picnicking, or relaxing at home with friends and family. This fruity, ready-to-drink beverage contains 150 calories and 0 grams of fat per 8-ounce serving. Best served chilled.",,,,,Fresh peach blended with smooth chardonnay,A light wine with the refreshing taste of natural fruit,,,"Perfect for poolside, picnicking, or relaxing at home with friends and family",Best served chilled,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,United States,United States,4.26,4.26,12.84,Inches,5.42,Pounds,Ambient: Room Temperature,Shelf Life,270,Please enjoy our wines responsibly.,"© 2020 Arbor Mist Winery, Canandaigua, NY",,,,,http://images.salsify.com/image/upload/s---B7bTIXz--/fxbumuyst0bahgdqlaoe.png,http://images.salsify.com/image/upload/s--aWIlg-QU--/twqcijqijf1p4zsjmrza.jpg,http://images.salsify.com/image/upload/s--kg5a7dwN--/wnqq7z2dnmxfbefqprkq.png,,,,,8,fl oz,150,17,g,0,g,,,20,mg,
10081434710052,00081434710055,081434710055,08143471005,2016-02-19T12:00:00Z,80031526,Wine,Black Box,,"Black Box Pinot Noir, Red Wine, 500 mL Go Pack",Pinot Noir,,500,mL,1,,Go Pack,"Black Box Wines Pinot Noir displays aromas of strawberry and cherry with hints of toasty oak. Berry and cocoa flavors and a delicate, lingering finish that complements roasted poultry or vegetables.","Made from grapes harvested in world-class appellations, Black Box Wines have won over 70 Gold Medals at wine competitions throughout the US and have been awarded over 34 Wine Enthusiast Best Buys. Through a meticulous winemaking process, each of our wines is crafted to be food-friendly, fruit-forward and easy-to-drink. Our Pinot Noir displays aromas of strawberry and cherry with hints of toasty oak. Berry and cocoa flavors and a delicate, lingering finish of this red wine complements roasted poultry or vegetables. This compact and recyclable 500-milliliter box contains 3 glasses of wine and is a convenient choice for taking high quality wine on-the-go.",,,Compact 500-milliliter box contains 3 glasses of wine and is perfect for on-the-go,,Fresh berry and cocoa flavors that have a lingering finish,,,,"Pairs well with roasted chicken, duck, grilled trout, and vegetables",,70 Gold Medals and 40% less expensive than comparable bottled wines,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,2.7800000000000002,2.57,6.55,Inches,1.21,Pounds,Ambient: Room Temperature,Shelf Life,270,Please enjoy our wines responsibly.,"© 2020 Black Box Wines, Madera, CA",,,,,,,,,http://images.salsify.com/image/upload/s--ABgp6WwR--/wl1hfr0qw3cqbphsbhqb.png,http://images.salsify.com/image/upload/s--8oldOt4v--/sveemt2x14rwxru6tjpi.png,http://images.salsify.com/image/upload/s--Rii_WHNQ--/dzerdmn0ou3warpixo9g.png,5,fl oz,120,3,g,0,g,0,g,0,mg,
10851718000113,00851718000116,851718000116,85171800011,2015-04-29T12:00:00Z,80027105,Wine,Mark West,,"Mark West Chardonnay, White Wine, 750 mL Bottle",Chardonnay,,750,mL,1,,Bottle,"Mark West Chardonnay has citrus and pear aromas followed by lush peach, melon, green apple, and mineral flavors with a toasty oak finish. This white wine pairs with cobb salad or grilled salmon.","Mark West Wines accepts nothing less than the best, which is why we source the fruit for our the wines is sourced from the finest vineyards throughout California. After harvest, the grapes were gently crushed and underwent two to three weeks of cool fermentation—that's what makes it fresh! The wine was aged in French oak. This chardonnay has citrus and pear aromas followed by lush peach, melon, green apple, and mineral flavors with a toasty oak finish. This white wine pairs best with grilled cheese with tomato soup, a cobb salad, grilled salmon, or really go for it with apple pie à la mode.",,,,,"Lush peach, melon, green apple, and mineral flavors with a toasty oak finish",,,Sourced from the finest vineyards throughout California,"Pairs best with cobb salad, grilled salmon, apple pie a la mode",,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,false,California,United States,3.21,3.21,11.62,Inches,2.81,Pounds,Ambient: Room Temperature,Shelf Life,730,Please enjoy our wines responsibly.,"© 2020 Mark West Winery, Acampo, CA",,,,,http://images.salsify.com/image/upload/s--8UO3-Ce5--/tz01jxhlkbk2edx7bcad.png,http://images.salsify.com/image/upload/s--c051LCeP--/y9jztr5prg3xlwjqyh7v.png,http://images.salsify.com/image/upload/s--WXDrS1-g--/bn7ebfgmbpzq6qnsnlxp.png,,,,,5,fl oz,120,3,g,0,g,0,g,5,mg,
