Name,Category,Glass,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Directions,isAlcoholic,Video
A1,Cocktail,Cocktail glass,"('Gin', '1 3/4 shot ')","('Grand Marnier', '1 Shot ')","('Lemon Juice', '1/4 Shot')","('Grenadine', '1/8 Shot')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",True,
ABC,Shot,Shot glass,"('Amaretto', '1/3 ')","('Baileys irish cream', '1/3 ')","('Cognac', '1/3 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Layered in a shot glass.,True,
Ace,Cocktail,Martini Glass,"('Gin', '2 shots ')","('Grenadine', '1/2 shot ')","('Heavy cream', '1/2 shot ')","('Milk', '1/2 shot')","('Egg White', '1/2 Fresh')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,True,
Adam,Ordinary Drink,Cocktail glass,"('Dark rum', '2 oz ')","('Lemon juice', '1 oz ')","('Grenadine', '1 tsp ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",True,
AT&T,Ordinary Drink,Highball Glass,"('Absolut Vodka', '1 oz ')","('Gin', '1 oz ')","('Tonic water', '4 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour Vodka and Gin over ice, add Tonic and Stir",True,
ACID,Shot,Shot glass,"('151 proof rum', '1 oz Bacardi ')","('Wild Turkey', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,True,
A. J.,Ordinary Drink,Cocktail glass,"('Applejack', '1 1/2 oz ')","('Grapefruit juice', '1 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Shake ingredients with ice, strain into a cocktail glass, and serve.",True,
Affair,Ordinary Drink,Highball glass,"('Strawberry schnapps', '2 oz ')","('Orange juice', '2 oz ')","('Cranberry juice', '2 oz ')","('Club soda', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",True,
Apello,Other/Unknown,Collins Glass,"('Orange juice', '4 cl ')","('Grapefruit juice', '3 cl ')","('Apple juice', '1 cl ')","('Maraschino cherry', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Stirr. Grnish with maraschino cherry.,False,
Avalon,Ordinary Drink,Highball glass,"('Vodka', '3 parts')","('Pisang Ambon', '1 part ')","('Apple juice', '6 parts ')","('Lemon juice', '1 1/2 part ')","('Lemonade', None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",True,
Abilene,Ordinary Drink,Highball glass,"('Dark rum', '1 1/2 oz ')","('Peach nectar', '2 oz ')","('Orange juice', '3 oz ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,True,
Almeria,Ordinary Drink,Cocktail glass,"('Dark rum', '2 oz ')","('Kahlua', '1 oz ')","('Egg white', '1 ')","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",True,
